,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,khudumelapye,-23.88,24.75,58.35,36.0,0.0,1.19,BW,1596037089
349,kristinehamn,59.31,14.11,62.6,93.0,88.0,13.87,SE,1596037089
350,east london,-33.02,27.91,62.6,72.0,0.0,13.87,ZA,1596037089
351,maningrida,-12.07,134.27,60.49,81.0,57.0,9.6,AU,1596037089
352,coquimbo,-29.95,-71.34,55.4,76.0,0.0,9.17,CL,1596037090
353,sakakah,29.97,40.21,116.6,8.0,40.0,4.7,SA,1596037090
354,ruteng,-8.61,120.47,59.0,100.0,40.0,2.89,ID,1596037091
355,longkou,37.65,120.33,75.29,80.0,68.0,10.65,CN,1596037091
356,dingle,11.0,122.67,76.21,89.0,100.0,5.3,PH,1596037091
357,kribi,2.95,9.92,77.13,85.0,97.0,13.2,CM,1596037092
358,the valley,18.22,-63.06,80.6,88.0,75.0,21.92,AI,1596036867
359,piripiri,-4.27,-41.78,96.4,28.0,0.0,5.82,BR,1596037092
360,arshan,46.27,44.22,89.6,13.0,43.0,13.42,RU,1596037092
361,brae,60.4,-1.35,53.6,81.0,75.0,27.51,GB,1596037093
362,rabo de peixe,37.8,-25.58,75.2,83.0,75.0,11.41,PT,1596037094
363,forestville,38.85,-76.88,90.0,45.0,1.0,4.7,US,1596037094
364,jumla,29.27,82.18,62.47,72.0,100.0,0.96,NP,1596037094
365,necochea,-38.55,-58.74,51.01,61.0,0.0,4.0,AR,1596037095
366,ribeira grande,38.52,-28.7,77.0,83.0,40.0,18.34,PT,1596037095
367,vrangel,42.73,133.08,64.26,90.0,0.0,2.8,RU,1596037096
368,tromso,69.65,18.96,77.0,36.0,99.0,13.87,NO,1596036831
369,saint pete beach,27.73,-82.74,89.01,1.0,100.0,1.01,US,1596037096
370,lasa,46.62,10.7,69.8,68.0,40.0,6.93,IT,1596037096
371,sinjai,-5.12,120.25,74.43,88.0,77.0,4.29,ID,1596037097
372,kyra,49.58,111.98,59.83,82.0,6.0,1.32,RU,1596037097
373,silver city,32.77,-108.28,80.6,39.0,90.0,6.93,US,1596036929
374,shumskiy,54.83,99.13,56.05,93.0,77.0,2.77,RU,1596037098
375,sorland,67.67,12.69,62.6,72.0,64.0,6.93,NO,1596036966
376,sitka,57.05,-135.33,51.8,100.0,1.0,1.95,US,1596037098
377,general roca,-39.03,-67.58,41.0,50.0,86.0,3.36,AR,1596037099
378,gannan,47.91,123.5,68.04,87.0,9.0,3.58,CN,1596037099
379,puerto escondido,15.85,-97.07,82.4,78.0,75.0,8.05,MX,1596037099
380,oranjemund,-28.55,16.43,57.45,73.0,0.0,16.42,NA,1596037031
381,beloha,-25.17,45.05,65.53,72.0,0.0,5.06,MG,1596036861
382,owando,-0.48,15.9,87.08,52.0,73.0,3.18,CG,1596037100
383,kaduqli,11.02,29.72,76.73,83.0,100.0,3.71,SD,1596037101
384,atikokan,48.76,-91.62,66.65,59.0,97.0,4.09,CA,1596037101
385,rafiganj,24.82,84.65,84.2,83.0,75.0,2.55,IN,1596037101
386,kavaratti,10.57,72.64,79.95,83.0,100.0,20.89,IN,1596037073
387,lyantonde,-0.4,31.16,76.03,41.0,78.0,8.88,UG,1596037102
388,sunyani,7.34,-2.33,84.7,57.0,66.0,1.95,GH,1596037102
389,yerbogachen,61.28,108.01,51.69,90.0,1.0,5.3,RU,1596037103
390,puro,12.48,123.38,79.39,86.0,100.0,9.66,PH,1596037103
391,anda,46.4,125.32,70.43,78.0,78.0,5.55,CN,1596037103
392,birin,26.89,88.07,64.85,98.0,90.0,2.06,NP,1596037104
393,lacombe,52.47,-113.74,66.2,77.0,20.0,5.82,CA,1596036988
394,broome,42.25,-75.83,82.0,47.0,40.0,11.41,US,1596036956
395,portland,45.52,-122.68,66.99,72.0,40.0,3.33,US,1596037063
396,biltine,14.53,20.92,96.87,26.0,45.0,5.37,TD,1596037105
397,canatlan,24.52,-104.78,63.0,88.0,90.0,3.53,MX,1596037105
398,sao filipe,14.9,-24.5,78.31,84.0,72.0,6.04,CV,1596037106
399,hamilton,39.18,-84.53,86.0,58.0,1.0,4.7,US,1596037106
400,shingu,33.73,135.98,75.13,93.0,100.0,3.27,JP,1596036870
401,port augusta,-32.5,137.77,46.4,100.0,0.0,4.7,AU,1596037106
402,san quintin,30.48,-115.95,71.64,71.0,3.0,10.67,MX,1596037107
403,moreira sales,-24.06,-53.01,66.56,63.0,64.0,5.5,BR,1596037107
404,manta,-0.95,-80.73,75.2,83.0,75.0,8.05,EC,1596037107
405,lagoa,39.05,-27.98,73.94,88.0,0.0,24.63,PT,1596037108
406,christchurch,-43.53,172.63,51.01,93.0,84.0,12.75,NZ,1596036984
407,noyabrsk,63.2,75.45,49.66,89.0,29.0,5.86,RU,1596037108
408,camacha,33.08,-16.33,75.2,60.0,75.0,13.87,PT,1596036832
409,flinders,-34.58,150.86,55.99,91.0,11.0,1.01,AU,1596037109
410,praia,14.92,-23.51,87.8,62.0,75.0,14.99,CV,1596037109
411,zyryanka,65.75,150.85,45.16,79.0,71.0,13.44,RU,1596037110
412,skibbereen,51.55,-9.27,57.2,100.0,75.0,13.87,IE,1596037031
413,diffa,13.32,12.61,96.49,35.0,22.0,13.49,NE,1596037110
414,tessalit,20.2,1.01,105.39,11.0,0.0,8.08,ML,1596037110
415,baruun-urt,46.68,113.28,61.05,84.0,17.0,0.87,MN,1596037111
416,port elizabeth,-33.92,25.57,60.8,72.0,0.0,17.22,ZA,1596036927
417,susanville,40.42,-120.65,69.01,45.0,1.0,1.41,US,1596037111
418,juegang,32.32,121.19,78.73,89.0,100.0,9.48,CN,1596037112
419,lapeer,43.05,-83.32,78.8,69.0,40.0,5.82,US,1596037112
420,bambanglipuro,-7.95,110.28,70.5,83.0,37.0,4.83,ID,1596037112
421,leningradskiy,69.38,178.42,37.92,81.0,28.0,3.98,RU,1596037113
422,erzin,36.96,36.2,84.99,85.0,0.0,4.0,TR,1596037113
423,ilulissat,69.22,-51.1,44.6,75.0,40.0,4.7,GL,1596037114
424,charters towers,-20.1,146.27,54.72,44.0,0.0,6.44,AU,1596037114
425,krapivinskiy,55.0,86.81,62.6,100.0,40.0,4.47,RU,1596037114
426,kimbe,-5.55,150.14,75.56,89.0,93.0,4.5,PG,1596037115
427,port macquarie,-31.43,152.92,53.01,91.0,2.0,12.06,AU,1596037115
428,yinchuan,38.47,106.27,85.14,33.0,30.0,19.42,CN,1596037116
429,severo-kurilsk,50.68,156.12,51.71,90.0,92.0,14.81,RU,1596037116
430,maholi,27.67,80.47,78.33,91.0,93.0,5.91,IN,1596037116
431,itoman,26.12,127.67,84.2,83.0,20.0,9.17,JP,1596037117
432,san isidro,-12.12,-77.05,59.0,82.0,90.0,4.7,PE,1596037117
433,nuuk,64.18,-51.72,46.4,100.0,90.0,2.24,GL,1596037117
434,tarazona,41.9,-1.73,95.0,26.0,0.0,11.41,ES,1596037118
435,cam ranh,11.92,109.16,82.4,88.0,20.0,3.36,VN,1596037118
436,tura,25.52,90.22,75.25,96.0,100.0,5.84,IN,1596037118
437,saharanpur,29.97,77.55,77.81,92.0,89.0,11.59,IN,1596036938
438,preobrazheniye,42.9,133.91,64.36,89.0,0.0,5.26,RU,1596037119
439,xining,36.62,101.77,61.81,61.0,42.0,4.41,CN,1596037119
440,fort frances,48.6,-93.4,71.01,64.0,40.0,3.85,CA,1596037120
441,yanam,16.73,82.22,84.2,83.0,75.0,6.93,IN,1596037120
442,quixeramobim,-5.2,-39.29,90.88,33.0,0.0,7.61,BR,1596037120
443,kindu,-2.95,25.95,86.63,26.0,0.0,1.07,CD,1596037121
444,bintulu,3.17,113.03,77.0,94.0,40.0,5.82,MY,1596037010
445,nisia floresta,-6.09,-35.21,84.2,69.0,75.0,16.11,BR,1596037121
446,east foothills,37.38,-121.82,64.99,82.0,90.0,2.55,US,1596037002
447,saint john,45.27,-66.07,80.6,65.0,40.0,6.93,CA,1596037102
448,nogales,31.31,-110.94,82.99,58.0,1.0,3.36,MX,1596036873
449,coihaique,-45.58,-72.07,35.6,74.0,93.0,5.82,CL,1596037122
450,finschhafen,-6.6,147.87,79.21,78.0,11.0,8.86,PG,1596037123
451,sergeyevka,53.88,67.42,60.57,65.0,79.0,4.0,KZ,1596037123
452,kenai,60.55,-151.26,52.0,81.0,1.0,2.3,US,1596037123
453,kautokeino,69.01,23.04,68.25,57.0,100.0,11.54,NO,1596037124
454,aljezur,37.32,-8.8,77.07,56.0,2.0,8.86,PT,1596037124
455,saint-pierre,-21.34,55.48,71.6,83.0,90.0,13.87,RE,1596037125
456,kostomuksha,64.57,30.58,58.26,93.0,100.0,11.9,RU,1596037125
457,svetlogorsk,52.63,29.73,71.2,88.0,100.0,8.1,BY,1596037125
458,road town,18.42,-64.62,82.99,88.0,40.0,23.04,VG,1596037089
459,flin flon,54.77,-101.86,68.0,72.0,20.0,8.05,CA,1596036960
460,severnyy,50.68,36.55,87.8,29.0,50.0,8.95,RU,1596037126
461,tal,35.48,72.24,64.47,62.0,1.0,1.52,PK,1596037126
462,kysyl-syr,63.9,122.76,48.79,73.0,0.0,6.29,RU,1596037127
463,awjilah,29.11,21.29,99.99,15.0,0.0,6.73,LY,1596037127
464,vestmanna,62.16,-7.17,50.0,87.0,100.0,23.04,FO,1596037127
465,tazovskiy,67.47,78.7,53.2,79.0,6.0,4.7,RU,1596037012
466,launceston,-41.45,147.17,42.8,81.0,19.0,6.93,AU,1596037128
467,moron,-34.65,-58.62,55.0,37.0,0.0,9.17,AR,1596037128
468,mehamn,71.04,27.85,59.0,77.0,3.0,8.05,NO,1596037129
469,iranduba,-3.28,-60.19,91.4,55.0,20.0,4.7,BR,1596037129
470,baduria,22.74,88.79,86.0,89.0,40.0,6.93,IN,1596037130
471,aswan,24.09,32.91,107.98,18.0,28.0,3.85,EG,1596037130
472,rubbestadneset,59.81,5.27,57.0,96.0,100.0,3.0,NO,1596037130
473,gazli,40.13,63.45,85.32,14.0,0.0,13.53,UZ,1596037130
474,powell river,49.85,-124.54,64.4,82.0,75.0,3.36,CA,1596037131
475,liwale,-9.77,37.93,78.33,39.0,93.0,3.51,TZ,1596037131
476,husavik,66.04,-17.34,55.4,71.0,75.0,11.41,IS,1596037066
477,koslan,63.46,48.9,64.71,73.0,68.0,4.52,RU,1596037132
478,yeniseysk,58.45,92.17,66.31,67.0,100.0,6.73,RU,1596037132
479,marawi,8.0,124.29,75.99,94.0,100.0,5.01,PH,1596037132
480,karratha,-20.74,116.85,68.49,59.0,0.0,5.91,AU,1596037133
481,mahendragarh,28.28,76.15,87.44,63.0,100.0,7.9,IN,1596037133
482,coahuayana,18.73,-103.68,75.2,88.0,40.0,2.71,MX,1596037029
483,senador jose porfirio,-2.59,-51.95,89.8,42.0,49.0,1.03,BR,1596037134
484,dubbo,-32.25,148.62,41.0,93.0,0.0,3.36,AU,1596037134
485,kudahuvadhoo,2.67,72.89,83.35,78.0,94.0,15.93,MV,1596036938
486,juneau,58.3,-134.42,52.0,87.0,40.0,3.87,US,1596037135
487,shubarshi,48.59,57.19,79.23,27.0,99.0,2.89,KZ,1596037135
488,chyhyryn,49.08,32.66,83.91,50.0,3.0,4.9,UA,1596037135
489,meulaboh,4.14,96.13,78.98,78.0,100.0,3.87,ID,1596037073
490,yumen,40.28,97.2,77.92,26.0,3.0,7.29,CN,1596037136
491,inverell,-29.78,151.12,46.0,92.0,8.0,1.01,AU,1596037136
492,anadyr,64.75,177.48,51.8,93.0,40.0,11.9,RU,1596037137
493,islahiye,37.02,36.63,98.6,37.0,0.0,18.34,TR,1596037138
494,wabana,47.63,-52.95,61.0,82.0,90.0,6.93,CA,1596037138
495,puerto quijarro,-17.78,-57.77,76.93,42.0,3.0,7.81,BO,1596037138
496,konstantinovka,49.62,127.98,71.98,65.0,4.0,2.66,RU,1596037139
497,meadow lake,34.8,-106.54,75.99,56.0,20.0,5.82,US,1596037139
498,nouadhibou,20.93,-17.03,75.2,73.0,11.0,28.86,MR,1596037139
499,svetlyy,54.67,20.13,62.6,82.0,75.0,4.47,RU,1596037140
500,caibarien,22.52,-79.47,86.0,70.0,75.0,12.75,CU,1596037140
501,bulgan,48.81,103.53,57.78,83.0,95.0,3.78,MN,1596037141
502,carahue,-38.7,-73.17,32.0,64.0,90.0,3.36,CL,1596037141
503,kalmunai,7.42,81.82,81.9,74.0,34.0,1.92,LK,1596037141
504,sokolow podlaski,52.41,22.25,69.89,71.0,26.0,9.53,PL,1596037142
505,andenes,69.31,16.12,66.2,68.0,99.0,4.7,NO,1596037142
506,grindavik,63.84,-22.43,51.8,87.0,90.0,4.7,IS,1596037142
507,kalmar,56.66,16.36,64.4,63.0,30.0,14.99,SE,1596037143
508,bonfim,3.08,-59.95,87.87,54.0,28.0,7.45,BR,1596037143
509,namibe,-15.2,12.15,71.6,64.0,40.0,12.75,AO,1596037023
510,constitucion,-35.33,-72.42,54.43,50.0,57.0,2.39,CL,1596037143
511,forio,40.73,13.86,89.01,70.0,5.0,4.7,IT,1596037144
512,enid,36.4,-97.88,73.4,100.0,75.0,6.93,US,1596037144
513,amahai,-3.33,128.92,76.44,88.0,96.0,10.22,ID,1596037144
514,mbandaka,0.05,18.26,78.84,69.0,91.0,8.48,CD,1596037145
515,sinnamary,5.38,-52.95,85.86,66.0,0.0,12.75,GF,1596037145
516,kawalu,-7.38,108.21,68.34,89.0,55.0,0.47,ID,1596037146
517,sirawai,7.59,122.14,79.12,79.0,100.0,3.94,PH,1596037146
518,skjervoy,70.03,20.97,75.2,57.0,100.0,10.29,NO,1596037146
519,pevek,69.7,170.31,36.14,88.0,86.0,6.85,RU,1596036981
520,fort-shevchenko,44.51,50.26,72.88,61.0,100.0,13.11,KZ,1596037147
521,kostino,58.91,53.27,62.64,93.0,100.0,6.49,RU,1596037147
522,namatanai,-3.67,152.43,79.27,78.0,11.0,4.32,PG,1596037148
523,kangaatsiaq,68.31,-53.46,43.65,84.0,87.0,11.34,GL,1596037148
524,iralaya,15.0,-83.23,82.4,83.0,75.0,11.99,HN,1596037149
525,padang,-0.95,100.35,77.23,77.0,89.0,4.23,ID,1596037150
526,bueno brandao,-22.44,-46.35,74.21,46.0,33.0,4.52,BR,1596037150
527,longavi,-35.97,-71.68,50.02,57.0,42.0,2.64,CL,1596037150
528,killybegs,54.63,-8.45,60.8,82.0,75.0,8.05,IE,1596037150
529,dongsheng,39.82,109.98,79.29,40.0,83.0,18.21,CN,1596037151
530,goroka,-6.08,145.39,59.94,88.0,100.0,1.81,PG,1596037151
531,rognan,67.1,15.39,71.01,67.0,100.0,1.01,NO,1596037152
532,aonla,28.28,79.15,79.5,88.0,100.0,7.49,IN,1596037152
533,jiaojiang,28.68,121.44,80.01,50.0,97.0,4.18,CN,1596037152
534,canoa,18.36,-71.16,93.2,67.0,20.0,6.93,DO,1596037153
535,ravar,31.27,56.81,87.51,14.0,0.0,9.6,IR,1596037153
536,okhotsk,59.38,143.3,64.42,66.0,100.0,18.61,RU,1596037153
537,srandakan,-7.94,110.25,70.7,83.0,40.0,5.23,ID,1596037153
538,cayenne,4.93,-52.33,89.6,55.0,75.0,6.93,GF,1596037154
539,keetmanshoop,-26.58,18.13,77.0,23.0,0.0,9.17,NA,1596037154
540,srikakulam,18.3,83.9,82.98,83.0,96.0,4.63,IN,1596037154
541,batagay-alyta,67.8,130.41,42.76,74.0,0.0,3.36,RU,1596037155
542,zhuhai,22.28,113.57,88.0,84.0,20.0,11.41,CN,1596037155
543,aykhal,66.0,111.5,55.4,62.0,100.0,4.47,RU,1596037156
544,kavieng,-2.57,150.8,82.33,67.0,0.0,5.55,PG,1596037156
545,omboue,-1.57,9.26,76.41,70.0,90.0,10.89,GA,1596037156
546,kontagora,10.4,5.47,82.22,75.0,62.0,4.07,NG,1596037156
547,sainte-marie,-20.9,55.55,69.8,83.0,90.0,12.75,RE,1596037157
548,bondowoso,-7.91,113.82,66.45,66.0,52.0,3.53,ID,1596037157
549,karpogory,64.0,44.45,69.19,61.0,100.0,4.54,RU,1596037157
550,pangody,65.85,74.49,54.23,81.0,79.0,8.43,RU,1596037158
551,ereymentau,51.62,73.1,59.58,56.0,33.0,7.63,KZ,1596037158
552,chulym,55.1,80.96,57.31,94.0,82.0,8.16,RU,1596037159
553,nizhniy odes,63.64,54.86,62.56,51.0,32.0,4.88,RU,1596037159
554,mbini,1.57,9.61,80.6,83.0,40.0,11.41,GQ,1596037159
555,plouzane,48.38,-4.62,69.8,56.0,31.0,6.93,FR,1596037160
556,mosquera,4.71,-74.23,60.8,63.0,75.0,6.93,CO,1596037160
557,lakes entrance,-37.88,147.98,45.0,96.0,11.0,10.47,AU,1596037160
558,caravelas,-17.71,-39.25,79.75,57.0,0.0,7.74,BR,1596037161
559,los andes,-32.83,-70.6,63.0,61.0,0.0,2.24,CL,1596037161
560,hofn,64.25,-15.21,53.6,76.0,20.0,12.75,IS,1596037161
561,matagami,49.75,-77.63,62.6,93.0,75.0,4.41,CA,1596037161
562,pafos,34.77,32.42,87.8,62.0,0.0,12.75,CY,1596037162
563,tame,6.46,-71.73,84.72,65.0,25.0,5.55,CO,1596037162
564,bathsheba,13.22,-59.52,87.8,74.0,40.0,24.16,BB,1596037162
